상품,고객,종류,기간,금리,금리(연평균수익률),기본금리,기본금리(연평균수익률),비고,할인율,할인율(연평균수익률),금액
수시입출금식상품_Hi(비대면)입출금통장,개인용,,,2.3,,,,,,,
수시입출금식상품_KDBdreamAccount,개인용,,,2.2,,,,,,,
거치식상품_Hi정기예금,개인용,,1년,3.3,,,,,,,
거치식상품_KDB정기예금,개인용,만기지급식,1개월,,,3,,,,,
거치식상품_KDB정기예금,개인용,만기지급식,3개월,,,3.1,,,,,
거치식상품_KDB정기예금,개인용,만기지급식,6개월,,,3.3,,,,,
거치식상품_KDB정기예금,개인용,만기지급식,1년,,,3.5,,,,,
거치식상품_KDB정기예금,개인용,만기지급식,2년,,,3.3,,,,,
거치식상품_KDB정기예금,개인용,만기지급식,3년,,,3.3,,,,,
거치식상품_KDB정기예금,개인용,월이자지급식,1개월,,,3,,,,,
거치식상품_KDB정기예금,개인용,월이자지급식,3개월,,,3.05,,,,,
거치식상품_KDB정기예금,개인용,월이자지급식,6개월,,,3.25,,,,,
거치식상품_KDB정기예금,개인용,월이자지급식,1년,,,3.45,,,,,
거치식상품_KDB정기예금,개인용,월이자지급식,2년,,,3.2,,,,,
거치식상품_KDB정기예금,개인용,월이자지급식,3년,,,3.2,,,,,
거치식상품_KDBdream정기예금,개인용,만기지급식,6개월,,,3,,우대이율(KDBdreamAccount가입고객)0.10%미포함,,,
거치식상품_KDBdream정기예금,개인용,만기지급식,1년,,,3.1,,우대이율(KDBdreamAccount가입고객)0.10%미포함,,,
거치식상품_KDBdream정기예금,개인용,만기지급식,2년,,,3.1,,우대이율(KDBdreamAccount가입고객)0.10%미포함,,,
거치식상품_KDBdream정기예금,개인용,월이자지급식,6개월,,,2.98,,우대이율(KDBdreamAccount가입고객)0.10%미포함,,,
거치식상품_KDBdream정기예금,개인용,월이자지급식,1년,,,3.06,,우대이율(KDBdreamAccount가입고객)0.10%미포함,,,
거치식상품_KDBdream정기예금,개인용,월이자지급식,2년,,,3.01,,우대이율(KDBdreamAccount가입고객)0.10%미포함,,,
거치식상품_KDBdream자유자재정기예금,개인용,만기지급식,1개월,,,2.5,2.5,,,,
거치식상품_KDBdream자유자재정기예금,개인용,만기지급식,3개월,,,2.7,2.71,,,,
거치식상품_KDBdream자유자재정기예금,개인용,만기지급식,6개월,,,2.7,2.72,,,,
거치식상품_KDBdream자유자재정기예금,개인용,만기지급식,1년,,,2.7,2.73,,,,
거치식상품_KDBdream자유자재정기예금,개인용,만기지급식,2년,,,2.7,2.77,,,,
