행정구역(시군구)별,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.1,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2023
전국,23716980,23757654,23795469,23814826,23838308,23856142,23873825,23888954,23900917,23901564,23904793,23914851,23924692,23962497,24002008,24021667,23914851
서울특별시,4447861,4457982,4463385,4465391,4467999,4469158,4471174,4473734,4475726,4472603,4469374,4469417,4471017,4480607,4485819,4486137,4469417
종로구,72479,72773,72679,72644,72584,72507,72440,72381,72304,72132,72060,72067,72101,72294,72404,72479,72067
중구,63123,63492,63862,64081,64260,64375,64465,64558,64609,64590,64586,64714,64758,64972,65132,65225,64714
용산구,109734,109778,109735,109712,109717,109679,109674,109527,109360,108907,108381,107825,107328,106972,106272,105240,107825
성동구,133293,133517,133513,133503,133551,133484,133464,133433,133366,133253,133178,133089,132985,133197,133374,133297,133089
광진구,169416,169648,169787,169725,169950,169857,169935,170210,170388,170271,170152,170077,170093,170409,170557,170588,170077
동대문구,169716,170766,171140,171288,171388,171703,171945,172680,173091,173003,172934,172801,172756,173590,174010,174086,172801
중랑구,187489,187776,187898,187977,188020,187981,187978,187877,187900,187858,187680,188097,188277,188620,188653,188694,188097
성북구,196936,197673,197859,197801,197906,197831,197686,197673,197607,197271,197041,196800,196512,197012,197445,197440,196800
강북구,144275,144506,144557,144559,144577,144447,144427,144345,144269,143963,143796,143560,143411,143405,143338,143238,143560
도봉구,138331,138384,138376,138314,138289,138188,138069,138102,138210,138223,138161,138261,138373,138626,138756,138829,138261
노원구,217160,217926,218341,218262,218187,217858,218003,218087,218367,218280,218106,217904,217446,218042,218665,218585,217904
은평구,213924,214070,213989,213907,213830,213827,214175,215200,215776,215694,215700,215721,215799,216075,216340,216381,215721
서대문구,146183,146908,147146,147183,147197,147226,147184,147271,147333,147074,146938,146845,146787,147225,147467,147508,146845
마포구,180302,180807,181034,180976,181093,181097,181163,181177,181192,181052,181058,181090,181156,181532,181745,181710,181090
양천구,181189,181177,181072,181057,181169,181210,181264,181139,181072,181038,180794,180695,180615,180685,180619,180585,180695
강서구,273804,274186,274283,274428,274425,274521,274601,274426,274249,274032,274100,274084,274034,274285,274326,274226,274084
구로구,183910,184142,184268,184388,184498,184546,184616,184484,184467,184272,184188,184096,184161,184226,184333,184234,184096
금천구,119672,119830,120051,120274,120423,120578,120628,120696,120650,120555,120312,120381,120610,120822,120985,121117,120381
영등포구,189396,189857,190252,190393,190437,190482,190531,190508,190761,190702,190604,190737,191005,191437,191709,191856,190737
동작구,185659,186053,186534,186730,186980,187058,187112,187178,187199,186990,186818,186675,186473,186971,187417,187734,186675
관악구,284025,285206,285914,286127,286538,286647,286569,286379,286045,285450,284786,284578,284877,285607,286257,286396,284578
서초구,167876,168173,168234,168238,168344,168590,168844,168924,169621,170040,170059,169884,170015,170285,170382,170348,169884
강남구,232732,233325,234735,235708,236296,236935,237646,238500,238647,238712,238463,239775,241315,243061,243510,243741,239775
송파구,284928,285420,285489,285493,285615,285798,285951,286095,286123,286018,286016,285927,286180,286651,287052,287220,285927
강동구,202309,202589,202637,202623,202725,202733,202804,202884,203120,203223,203463,203734,203950,204606,205071,205380,203734
